"","A1_FakiAligned","A2_FakiAligned","A2_UntxAligned","A3_FakiAligned","A3_UntxAligned","B1_FakiAligned","B1_UntxAligned","B2_FakiAligned","B3_FakiAligned","B3_UntxAligned","FAKinh_1_ItgB4Aligned","FAKinh_2_ItgB4Aligned","FAKinh_3_ItgB4Aligned","UnTx1_ItgB4Aligned","UnTx3_ItgB4Aligned"
"Gm15713",16,32,4,36,52,7,5,8,13,1,6,11,5,0,9
"Gm15760",64,41,141,31,102,90,134,101,152,125,21,87,90,181,88
"Gm15772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm15787",50,40,31,94,36,32,20,26,37,26,59,28,67,38,39
"Gm15800",971,1130,1495,1112,1994,1493,1662,1958,1686,1691,1059,1610,1201,1540,2792
"Gm15850",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"Gm1587",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm15880",29,9,6,45,6,6,5,17,1,9,2,0,33,31,0
"Gm15881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm15910",192,164,374,139,516,286,138,503,323,183,319,256,498,89,160
"Gm15915",7,7,2,7,2,2,0,0,0,0,0,0,4,0,0
"Gm15941",0,0,5,0,1,0,0,0,3,1,0,0,0,0,0
"Gm15987",3,82,1,19,34,0,0,0,0,5,6,2,1,2,0
"Gm15997",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Gm16023",80,81,256,136,215,134,193,157,125,140,78,147,99,106,185
"Gm16039",1504,1769,2325,1609,2064,2080,1728,3203,2163,2305,2165,3109,2591,2017,2110
"Gm1604b",0,0,1,0,0,0,0,0,2,0,0,0,0,4,0
"Gm16062",62,61,396,75,170,306,404,197,232,253,297,136,391,377,309
"Gm16063",55,194,1301,63,1252,1337,1003,1456,1287,1544,5124,7208,6153,2954,3109
"Gm16065",58,76,2135,117,1470,3147,2310,3635,2522,3720,2908,3020,3147,2598,2883
"Gm16119",32,29,42,38,90,104,70,51,80,76,62,78,134,43,200
"Gm16130",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Gm16157",0,1,0,13,8,0,0,0,0,0,0,0,1,5,0
"Gm16197",0,39,147,32,183,21,99,87,42,65,47,49,103,253,104
"Gm16287",29,27,47,25,30,13,27,22,7,14,8,13,19,0,19
"Gm16291",0,0,0,0,0,0,0,0,0,0,0,9,0,0,1
"Gm16294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm1631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16325",0,6,518,4,112,188,384,199,191,305,84,72,164,261,201
"Gm16336",0,1,0,3,2,0,0,0,0,0,0,0,0,0,3
"Gm16367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16381",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16386",40,57,21,17,66,23,25,25,13,22,23,74,90,53,8
"Gm16390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16432",30,6,6,10,7,3,3,11,7,1,8,17,4,10,0
"Gm16442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16445",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Gm16451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm1647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16497",0,0,0,0,0,10,1,0,0,10,0,6,3,0,8
"Gm16501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16515",607,1929,2192,1026,1891,1509,2001,1762,1512,2086,1255,1440,1450,2223,1627
"Gm16516",151,140,1999,182,846,2112,2564,1364,2130,1982,1633,755,2453,3455,2275
"Gm16523",0,58,33,51,26,40,25,14,22,6,5,3,98,0,33
"Gm1653",0,0,0,0,0,0,2,0,0,0,0,21,0,0,0
"Gm16532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16548",29,2,0,40,6,0,0,0,0,3,0,0,4,0,0
"Gm16551",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16576",282,213,689,251,550,428,351,471,339,443,195,136,160,534,363
"Gm16596",28,34,47,35,66,54,28,68,44,69,43,46,26,75,56
"Gm166",223,227,296,290,377,411,333,459,335,382,380,454,390,594,534
"Gm1661",42,22,13,71,22,9,8,23,2,1,14,0,0,0,0
"Gm16617",12,39,13,24,27,14,5,6,9,9,4,2,9,6,7
"Gm16675",8,32,72,4,72,23,33,77,20,48,47,18,64,29,134
"Gm16677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16701",0,2,0,2,11,0,0,0,0,0,0,0,3,0,0
"Gm16702",0,16,0,10,0,0,0,0,0,0,1,1,0,0,0
"Gm1673",49,64,25,60,85,43,6,88,45,9,195,307,244,18,74
"Gm16793",29,5,8,4,87,4,2,4,14,5,12,17,10,15,0
"Gm16796",18,3,46,12,27,18,4,2,46,23,6,10,31,44,26
"Gm16833",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Gm16845",139,81,109,184,138,68,57,57,82,91,56,36,176,53,108
"Gm16853",45,17,22,46,9,29,14,14,21,27,8,5,37,16,48
"Gm16861",51,36,91,74,115,89,56,55,126,78,40,119,134,92,131
"Gm16863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16880",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16894",65,17,12,43,54,34,19,26,19,37,54,28,78,20,61
"Gm16897",490,785,41,546,250,46,11,49,14,12,41,25,63,28,19
"Gm16907",422,367,267,506,451,433,265,563,490,273,324,314,352,299,95
"Gm16938",3,53,186,60,236,105,141,118,68,166,102,167,95,168,39
"Gm16973",1401,1074,887,1772,1333,1229,721,966,1165,1004,1199,797,1349,404,281
"Gm16982",57,44,27,38,71,77,20,43,51,27,24,23,58,28,61
"Gm16998",10,8,13,10,16,9,5,19,9,6,3,8,16,1,1
"Gm17019",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm17066",395,330,282,592,738,640,472,714,647,567,821,491,692,93,113
"Gm1715",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Gm1720",0,0,32,0,23,31,11,6,20,10,25,3,46,43,73
"Gm17252",0,0,0,0,12,0,0,3,0,1,4,6,3,0,10
"Gm17296",385,283,357,404,266,313,251,363,377,290,180,499,391,426,160
"Gm17359",1,0,0,0,0,0,0,0,0,0,0,5,0,0,1
"Gm17365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm17384",7,1,4,0,50,0,1,0,0,0,0,0,4,1,18
"Gm17455",0,18,1,14,5,0,0,0,0,0,0,0,0,0,0
"Gm17495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm17644",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Gm17660",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm17677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm17689",0,1,24,0,7,9,15,133,3,11,15,87,13,42,22
"Gm17727",0,9,9,0,0,67,33,110,55,56,78,57,83,36,61
"Gm17745",1,7,4,0,0,1,0,4,1,0,1,0,0,0,6
"Gm17746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm17751",0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
"Gm17757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm17762",7,12,7,25,11,22,18,29,6,8,13,49,20,23,22
"Gm17769",0,10,23,59,60,1,0,17,2,5,0,53,0,0,0
"Gm17801",5,2,13,12,2,1,11,3,16,8,2,1,12,2,11
"Gm17821",0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
"Gm17830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm1821",2068,1123,1489,2462,1431,1879,1282,1467,1437,1277,2340,1701,2496,1690,1891
"Gm18409",0,16,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm18853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm19276",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Gm19277",102,75,2,129,40,0,0,0,0,0,0,0,0,0,0
"Gm19299",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"Gm19303",4,4,6,0,17,0,0,0,1,2,0,1,0,0,5
"Gm19345",0,9,1,0,9,6,5,5,0,4,0,0,1,11,0
"Gm19395",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Gm19402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm19424",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm1943",81,42,113,64,114,132,110,81,91,58,91,88,128,92,104
"Gm19434",0,15,24,5,11,14,53,17,26,24,63,23,83,9,5
"Gm19461",97,134,513,112,291,310,245,322,260,420,764,1241,653,696,655
"Gm19466",19,2,0,7,17,0,3,0,2,3,7,0,21,0,0
"Gm19510",0,7,7,0,2,7,0,0,3,0,0,0,5,0,0
"Gm19522",657,562,79,592,291,109,102,127,73,64,110,144,83,128,113
"Gm19557",9,114,1060,62,347,1663,1364,704,1639,777,452,183,961,606,661
"Gm19583",0,6,0,0,0,0,0,0,0,0,0,0,0,0,16
"Gm19589",2,9,223,28,69,204,338,255,164,255,59,50,15,122,184
"Gm19619",0,0,0,0,10,2,5,0,13,4,14,0,0,0,0
"Gm1965",0,0,11,0,29,7,0,21,1,0,9,0,5,0,17
"Gm19668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm1968",0,1,1,1,2,0,0,4,0,0,0,6,14,0,1
"Gm19689",12,8,2,0,3,0,2,0,0,1,0,6,0,0,0
"Gm19705",5,2,2,12,10,5,0,4,0,5,2,2,4,1,0
"Gm19710",8,27,52,32,89,35,47,18,40,41,35,30,56,30,45
"Gm19757",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gm1976",219,162,92,194,119,211,102,112,163,124,133,169,131,117,109
"Gm19782",0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
"Gm19784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm1987",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"Gm19897",84,94,64,114,112,34,25,55,46,25,36,74,42,27,59
"Gm1993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm1995",0,0,1,0,23,0,1,1,1,0,3,0,0,0,0
"Gm19990",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gm2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20098",0,0,11,0,12,0,0,0,0,0,0,0,0,0,0
"Gm2011",12,3,4,2,20,8,1,7,3,8,16,17,18,2,8
"Gm20110",0,0,0,0,11,0,0,0,11,0,2,0,0,0,0
"Gm2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20125",0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"Gm20139",0,13,0,0,8,1,0,0,0,0,0,0,0,0,0
"Gm2016",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Gm20172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20199",1392,1154,906,2194,1146,722,585,1080,745,459,539,843,1047,240,183
"Gm2022",0,0,0,0,0,0,18,0,0,0,0,0,2,0,0
"Gm20257",92,114,48,107,66,169,59,78,153,44,145,36,104,16,70
"Gm20268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2027",38,45,15,66,34,29,18,9,22,8,6,7,32,12,20
"Gm2030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20300",612,1143,1345,822,1433,1548,1330,1966,1439,1759,1548,2856,1896,901,856
"Gm20324",4,44,14,33,23,41,48,63,66,43,65,45,88,76,56
"Gm20337",13,12,29,6,60,49,29,76,48,55,55,64,92,43,34
"Gm20356",10,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"Gm20362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20408",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Gm20410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2042",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20554",0,0,207,36,78,162,255,230,213,237,264,205,238,294,234
"Gm20556",1,3,9,20,26,13,20,18,17,15,14,25,28,17,16
"Gm20579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20594",0,2,0,0,0,2,0,0,0,0,0,0,0,2,0
"Gm20597",0,0,8,0,4,0,5,0,0,1,10,0,0,2,0
"Gm20604",16,8,16,19,9,17,12,20,18,8,10,9,6,22,15
"Gm20605",147,217,279,160,338,256,206,249,212,271,121,168,149,237,231
"Gm2061",0,0,14,0,0,4,0,0,0,0,1,0,0,0,13
"Gm20611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20735",3,0,0,0,0,0,3,0,1,0,0,0,3,0,0
"Gm20736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20743",0,4,0,7,0,0,0,0,0,0,0,0,0,0,0
"Gm20744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20748",226,119,72,249,166,49,57,88,45,92,172,226,165,131,153
"Gm20750",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Gm20751",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"Gm20752",7,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"Gm20753",2,4,0,0,5,4,0,0,3,1,5,0,4,2,5
"Gm20754",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20755",29,3,0,6,33,5,0,0,3,0,0,0,0,0,0
"Gm20756",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"Gm20757",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm20758",0,0,0,0,1,0,1,1,0,0,0,0,1,12,0
"Gm20759",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Gm20765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20767",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm20806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20871",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Gm20877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm20939",36,87,53,79,132,146,134,206,82,56,207,148,92,96,9
"Gm21002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21057",3,0,8,1,3,2,0,9,0,3,1,0,5,5,2
"Gm2109",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"Gm21119",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Gm2115",0,0,0,0,5,2,0,7,3,0,89,85,20,0,0
"Gm21276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm216",88,108,38,138,83,12,2,6,2,0,17,54,65,1,1
"Gm21637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2176",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Gm21943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm21951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2381",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm2382",285,222,225,247,420,237,258,251,206,256,265,336,276,171,243
"Gm2447",19,0,0,1,8,0,0,0,0,0,0,0,0,0,0
"Gm2506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2518",19,35,38,10,44,13,31,26,18,34,35,44,18,30,25
"Gm266",60,11,0,11,22,0,0,0,0,0,0,0,0,0,0
"Gm2663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2694",0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
"Gm2696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2762",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"Gm2799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2837",0,0,0,0,0,0,1,0,0,0,2,1,0,0,0
"Gm2848",2,0,0,0,1,0,0,0,0,0,0,0,5,0,0
"Gm2863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2897",4,0,0,0,11,0,0,0,0,2,0,0,0,0,4
"Gm2913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm2a",12575,15190,8207,13047,14473,5098,3136,5389,4881,4093,6983,7820,6785,4156,7573
"Gm3002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3086",0,0,0,0,6,0,1,0,1,0,0,0,1,0,0
"Gm3139",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
"Gm3143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3219",320,270,324,346,381,225,194,296,236,227,177,108,202,207,257
"Gm3230",110,56,49,43,129,117,53,79,94,78,40,9,58,64,59
"Gm3238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3258",571,469,684,757,790,588,561,649,381,600,804,910,818,577,852
"Gm3259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3285",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3336",10,11,84,0,81,48,59,35,22,29,21,63,84,22,102
"Gm3376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3414",328,655,651,685,1687,651,575,810,448,506,814,762,477,129,202
"Gm3415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3435",8,11,19,9,6,15,15,10,11,7,15,16,12,12,20
"Gm3448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3558",10,12,0,2,21,12,6,6,14,0,5,11,0,0,0
"Gm3604",106,224,100,213,117,88,132,228,144,246,28,28,196,0,127
"Gm362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3696",44,24,1,39,31,0,1,0,0,2,1,14,5,2,14
"Gm3701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3716",0,0,0,0,1,10,0,36,1,5,0,0,0,0,0
"Gm3750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3776",0,0,0,0,1,1,1,4,0,0,0,0,1,0,0
"Gm382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3833",52,24,14,56,50,25,32,14,22,42,10,17,28,22,38
"Gm3893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3925",0,0,0,1,0,0,3,1,0,2,6,1,0,10,0
"Gm3985",0,0,11,0,0,0,0,3,11,3,0,0,8,0,6
"Gm4013",18,16,41,20,23,55,42,67,36,30,56,45,61,22,87
"Gm4027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm410",0,3,0,0,1,0,0,0,4,0,0,0,0,0,0
"Gm4133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4262",47,69,63,48,42,32,13,22,32,4,2,31,34,33,22
"Gm4265",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Gm4278",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Gm428",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gm4285",101,51,96,137,145,195,130,117,144,97,178,126,246,58,107
"Gm4297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4345",0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
"Gm4349",0,6,0,0,0,0,0,0,0,0,0,5,17,0,0
"Gm436",0,4,125,0,14,26,55,80,26,66,129,175,130,146,153
"Gm4371",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm438",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4477",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm4489",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4532",40,12,17,76,8,28,48,22,18,39,11,2,43,20,36
"Gm4541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4566",0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
"Gm4567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4598",0,0,0,0,7,0,0,0,0,1,0,21,0,0,0
"Gm4636",20,424,1497,147,836,1619,1256,1395,1144,1277,934,723,1188,284,332
"Gm4710",0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"Gm4719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4745",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm4759",504,1180,20,712,151,131,4,473,197,20,576,1192,956,0,72
"Gm4763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm4776",0,0,0,0,0,10,3,0,3,4,6,1,5,0,0
"Gm4787",40,5,6,16,42,5,17,8,7,40,36,17,37,39,49
